,Entry_Date,Exit_Date,Entry,Exit,profit
50,2015-08-06,2015-08-25,538.6921997070311,484.9359436035156,-537.5625610351551
51,2015-10-28,2016-01-25,513.8118896484375,577.7442626953125,639.32373046875
52,2016-02-11,2016-02-24,609.599365234375,573.5908203125,-360.08544921875
53,2016-03-10,2016-06-03,631.8655395507812,781.4906005859375,1496.2506103515625
54,2016-07-07,2016-08-19,800.8905029296875,1008.2218017578124,2073.312988281249
55,2016-09-07,2016-10-03,1128.042724609375,1075.9342041015623,-521.0852050781273
56,2016-10-28,2016-11-08,1061.9244384765623,973.9547119140624,-879.6972656249989
57,2017-01-12,2017-05-30,882.3709716796875,1308.4576416015625,4260.86669921875
58,2017-06-08,2017-09-06,1348.2098388671875,1845.283447265625,4970.736083984375
59,2017-09-13,2017-10-27,1893.129150390625,1805.627197265625,-875.01953125
60,2018-01-11,2018-01-25,1767.261474609375,1697.7264404296875,-695.350341796875
61,2018-03-19,2018-04-30,1619.8531494140625,1893.6751708984373,2738.2202148437477
62,2018-05-23,2018-07-10,2063.1201171875,2352.990478515625,2898.70361328125
63,2018-07-19,2018-09-12,2505.9716796875,2579.35498046875,733.8330078125
64,2018-11-16,2019-02-25,2388.53857421875,2642.7451171875,2542.0654296875
65,2019-03-11,2019-05-17,2775.292724609375,3282.463134765625,5071.7041015625
66,2019-05-24,2019-07-18,3448.3212890625,3454.11669921875,57.9541015625
67,2019-09-09,2019-10-31,3423.93505859375,4011.83154296875,5878.96484375
68,2019-12-26,2020-01-16,4170.7587890625,4203.779296875,330.205078125
69,2020-02-04,2020-03-09,4501.61279296875,4020.3037109375,-4813.0908203125
70,2020-06-09,2020-07-24,2439.657958984375,3246.60400390625,8069.46044921875
71,2020-09-01,2020-09-28,3637.9716796875,3329.76953125,-3082.021484375
72,2020-10-13,2020-10-23,3267.320556640625,3311.548828125,442.28271484375
73,2020-11-03,2020-12-15,3485.16845703125,5114.23583984375,16290.673828125
74,2020-12-24,2021-01-08,5176.53515625,5073.80126953125,-1027.3388671875
75,2021-02-10,2021-03-03,5467.06591796875,5533.9580078125,668.9208984375
76,2021-05-06,2021-07-15,5519.88037109375,6129.7001953125,6098.1982421875
