,Entry_Date,Exit_Date,Entry,Exit,profit
100,2017-01-04,2017-04-12,577.694580078125,703.5155639648438,1258.2098388671875
101,2017-04-28,2017-05-23,753.6099243164062,764.6229858398438,110.130615234375
102,2017-06-01,2017-08-21,793.617431640625,855.1063842773438,614.8895263671875
103,2017-09-15,2017-10-10,906.9808349609376,884.2933959960938,-226.87438964843864
104,2017-10-23,2017-11-06,914.0201416015624,896.9984130859375,-170.21728515624886
105,2017-11-28,2018-02-15,915.025634765625,923.1441040039062,81.1846923828125
106,2018-04-04,2018-08-07,923.8063354492188,1051.9644775390623,1281.5814208984352
107,2018-11-22,2019-01-08,990.05810546875,1038.1910400390623,481.3293457031227
108,2019-02-18,2019-02-26,1031.723876953125,1041.9676513671877,102.43774414062727
109,2019-03-05,2019-04-15,1040.2152099609377,1129.915283203125,897.0007324218727
110,2019-05-09,2019-05-20,1130.951904296875,1200.7818603515625,698.299560546875
111,2019-05-27,2019-06-25,1188.9337158203125,1206.4320068359375,174.98291015625
112,2019-09-18,2019-10-17,1089.1611328125,1214.7425537109375,1255.814208984375
113,2019-11-15,2019-12-12,1272.39306640625,1258.1546630859375,-142.384033203125
114,2019-12-24,2020-01-13,1283.5946044921875,1280.4581298828125,-31.36474609375
115,2020-05-07,2020-05-21,921.0138549804688,855.8458862304688,-651.6796875
116,2020-06-08,2020-08-06,1011.5221557617188,1036.2152099609377,246.93054199218977
117,2020-08-28,2020-09-21,1109.697265625,1044.7781982421877,-649.1906738281227
118,2020-10-12,2020-12-16,1208.419921875,1404.6207275390625,1962.008056640625
119,2021-01-06,2021-03-04,1414.4283447265625,1545.3616943359375,1309.33349609375
120,2021-05-25,2021-07-28,1472.57666015625,1417.300048828125,-552.76611328125
