,Entry_Date,Exit_Date,Entry,Exit,profit
50,2014-10-31,2014-12-10,973.6661376953124,908.2923583984376,-653.7377929687477
51,2015-01-22,2015-02-18,978.2831420898438,978.3125610351562,0.294189453125
52,2015-03-05,2015-03-20,1074.0059814453123,982.4297485351562,-915.7623291015602
53,2015-04-17,2015-04-30,1023.2478637695312,959.4620971679688,-637.857666015625
54,2015-06-05,2015-07-31,990.222900390625,1053.5380859375,633.15185546875
55,2015-10-26,2015-11-03,896.2933349609375,815.98974609375,-803.035888671875
56,2016-03-10,2016-06-30,704.7886962890625,889.1929321289062,1844.0423583984375
57,2016-07-11,2016-08-08,926.8048095703124,895.5209350585938,-312.83874511718636
58,2016-09-12,2016-09-26,880.0967407226562,881.600341796875,15.0360107421875
59,2016-10-26,2016-11-09,891.5850830078125,836.3384399414062,-552.4664306640625
60,2017-01-10,2017-02-27,834.5640869140625,881.6906127929688,471.2652587890625
61,2017-03-21,2017-06-19,931.734375,1056.0919189453123,1243.5754394531227
62,2017-07-20,2017-08-21,1082.802490234375,1041.93115234375,-408.71337890625
63,2017-09-18,2017-10-05,1144.405029296875,1046.50732421875,-978.97705078125
64,2017-11-02,2017-11-30,1119.4451904296877,1124.6219482421877,51.767578125
65,2017-12-28,2018-02-16,1158.086669921875,1228.020263671875,699.3359375
66,2018-04-09,2018-05-17,1227.5579833984375,1253.4881591796875,259.3017578125
67,2018-06-05,2018-06-13,1232.9658203125,1256.07666015625,231.1083984375
68,2018-07-30,2018-08-20,1197.467529296875,1239.30029296875,418.32763671875
69,2018-08-28,2018-09-21,1269.166259765625,1244.9176025390625,-242.486572265625
70,2018-11-07,2018-12-13,1278.8563232421875,1335.498779296875,566.424560546875
71,2018-12-27,2019-01-09,1334.1881103515625,1297.6748046875,-365.133056640625
72,2019-03-08,2019-04-30,1253.999267578125,1262.565673828125,85.6640625
73,2019-05-28,2019-07-17,1474.109130859375,1362.649658203125,-1114.5947265625
74,2019-09-26,2019-10-17,1412.8997802734375,1350.782958984375,-621.168212890625
75,2019-11-05,2019-11-19,1365.4349365234375,1295.20947265625,-702.254638671875
76,2020-01-09,2020-02-13,1248.17138671875,1225.5057373046875,-226.656494140625
77,2020-06-03,2020-07-14,924.4166259765624,877.8736572265625,-465.42968749999886
78,2020-08-14,2020-09-09,953.3434448242188,882.2404174804688,-711.0302734375
79,2020-10-27,2021-01-05,952.5189819335938,1291.6795654296875,3391.6058349609375
80,2021-01-14,2021-02-02,1361.1927490234375,1503.1854248046875,1419.9267578125
81,2021-02-09,2021-03-01,1548.9178466796875,1456.365478515625,-925.523681640625
82,2021-05-19,2021-07-05,1387.7421875,1491.0726318359375,1033.304443359375
83,2021-07-22,2021-10-08,1623.7706298828125,1726.9000244140625,1031.2939453125
