,Entry_Date,Exit_Date,Entry,Exit,profit
50,2014-03-18,2014-05-05,1734.940185546875,1762.4752197265625,275.350341796875
51,2014-05-19,2014-10-15,2056.677978515625,2762.770263671875,7060.9228515625
52,2014-10-30,2014-12-12,3022.202392578125,3151.895263671875,1296.9287109375
53,2015-01-12,2015-02-12,3229.868896484375,3312.880126953125,830.1123046875
54,2015-03-10,2015-03-26,3401.34716796875,3321.787841796875,-795.59326171875
55,2015-05-06,2015-05-15,3389.96875,3424.152099609375,341.83349609375
56,2015-05-29,2015-09-02,3530.947021484375,3781.32080078125,2503.73779296875
57,2015-09-22,2015-10-15,4197.03125,4107.283203125,-897.48046875
58,2015-10-30,2015-12-08,4174.46533203125,4262.2421875,877.7685546875
59,2016-01-05,2016-01-12,4285.1376953125,4005.57177734375,-2795.6591796875
60,2016-03-31,2016-04-13,3486.97802734375,3501.333984375,143.5595703125
61,2016-04-27,2016-06-28,3621.24755859375,3827.01513671875,2057.67578125
62,2016-07-18,2016-11-15,4179.85986328125,4579.15673828125,3992.96875
63,2017-01-03,2017-03-07,5204.43701171875,5563.5634765625,3591.2646484375
64,2017-03-23,2017-06-27,5701.7900390625,6786.96142578125,10851.7138671875
65,2017-07-14,2017-08-29,7140.228515625,7177.53466796875,373.0615234375
66,2017-09-06,2017-10-11,7487.81494140625,7467.29833984375,-205.166015625
67,2017-11-03,2018-02-08,7843.5185546875,8617.7177734375,7741.9921875
68,2018-04-06,2018-05-03,8785.19140625,8355.533203125,-4296.58203125
69,2018-06-29,2018-08-08,8421.99609375,8786.3369140625,3643.408203125
70,2018-09-03,2018-09-11,8646.2900390625,8272.259765625,-3740.302734375
71,2018-11-20,2019-01-03,7123.1630859375,6996.8994140625,-1262.63671875
72,2019-03-12,2019-03-28,6951.4931640625,6406.66552734375,-5448.2763671875
73,2019-04-11,2019-05-07,6981.26220703125,6509.3759765625,-4718.8623046875
74,2019-05-29,2019-06-20,6693.38134765625,6426.576171875,-2668.0517578125
75,2019-08-23,2019-11-15,6159.322265625,7038.6064453125,8792.841796875
76,2019-12-24,2020-01-30,7216.46240234375,6913.78271484375,-3026.796875
77,2020-05-08,2020-05-22,4583.435546875,5056.2900390625,4728.544921875
78,2020-06-03,2020-07-21,5538.5498046875,6037.69873046875,4991.4892578125
79,2020-08-04,2020-09-15,6262.33349609375,7008.1171875,7457.8369140625
80,2020-10-29,2020-11-12,7072.6064453125,6793.53564453125,-2790.7080078125
81,2020-11-27,2021-02-04,6991.22509765625,7591.59716796875,6003.720703125
82,2021-05-20,2021-07-27,6695.1630859375,7194.3798828125,4992.16796875
