,Entry_Date,Exit_Date,Entry,Exit,profit
50,2018-04-13,2018-06-08,124.07850646972656,124.3298110961914,2.5130462646484375
51,2018-08-28,2018-10-08,123.8586196899414,118.9641342163086,-48.944854736328125
52,2018-11-01,2018-11-07,120.11141204833984,120.49382019042969,3.8240814208984375
53,2018-11-16,2018-11-26,119.8883056640625,116.28720092773438,-36.01104736328125
54,2018-12-24,2019-01-18,123.61690521240234,123.3938217163086,-2.2308349609375
55,2019-03-15,2019-04-22,126.97173309326172,127.99015045166016,10.184173583984375
56,2019-06-06,2019-07-22,128.417236328125,134.10055541992188,56.83319091796875
57,2019-07-31,2019-08-14,138.502685546875,134.79043579101562,-37.12249755859375
58,2019-08-29,2019-09-11,136.17276000976562,133.91209411621094,-22.606658935546875
59,2019-10-24,2019-11-08,135.70732116699222,127.42925262451172,-82.78068542480497
60,2020-01-08,2020-02-05,126.6978530883789,125.89995574951172,-7.978973388671875
61,2020-04-23,2020-05-27,108.9215850830078,108.33560943603516,-5.85975646972642
62,2020-06-09,2020-07-20,117.5732650756836,112.71316528320312,-48.60099792480469
63,2020-08-27,2020-09-18,127.6726531982422,121.21857452392578,-64.5407867431642
64,2020-10-29,2020-12-11,121.00701904296876,136.16816711425778,151.6114807128902
65,2021-01-13,2021-02-02,148.33998107910156,140.5250244140625,-78.14956665039062
66,2021-02-19,2021-03-12,168.02218627929688,162.1756134033203,-58.465728759765625
67,2021-05-10,2021-06-29,162.02822875976562,173.93067932128906,119.02450561523438
68,2021-08-11,2021-09-02,173.2919158935547,172.7023162841797,-5.89599609375
